0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/dropzone.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/uppy.min.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/jquery.steps.css HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/jquery.timepicker.css HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/quill.snow.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/daterangepicker.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/app-light.css HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/css/app-dark.css HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/assets/avatars/face-1.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/js/jquery.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/js/popper.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/js/moment.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/js/bootstrap.min.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [21/Sep/2022:09:40:10 +0900] "GET /semiProject/admin/js/simplebar.min.js HTTP/1.1" 404 856
